sentence,label
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral
Greene King's third quarter sales boosted by festive season,positive
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,negative
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,positive
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",positive
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,negative
$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,negative
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive
Irish housebuilder Cairn Homes plans London listing,positive
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,positive
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",positive
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative
Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,negative
Verizon and AT&T accused of hurting rivals,negative
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,neutral
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,positive
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,positive
$FB  rejecting HIGHS shortable...at 109,negative
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,negative
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",negative
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,positive
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,positive
$NFLX +3% of the lows,positive
Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,positive
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,positive
RBS chairman admits surprise at size of regulatory penalties,negative
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,positive
Long $ENDP @ $26.23 on $AGN b/o rumor,positive
"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative
Morrisons finance chief to fill gap as CEO leaves early,negative
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",neutral
Japan's Nikkei lands Financial Times in $1.3 billion deal,positive
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,negative
$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,negative
Standard Life share price: Insurer buys advice firm Pearson Jones,positive
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative
"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",positive
$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive
The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,negative
StanChart and RBS struggle in Bank of England stress tests,negative
$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,negative
"$AMZN trades in mid to upper range. No break out yet, either direction",neutral
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",neutral
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,neutral
EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,positive
$SPY Long 1/2 position 137.89,positive
Germanwings disaster will not affect image of budget air travel - easyJet,neutral
$TSLA recall,negative
Aviva weighs cash handout after beating profit forecast,positive
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive
Long $TSLA short $MBLY https://t.co/jSpUSzo6na,positive
$MOS looking good here at $58.65. Calls are active in this month and weekly,positive
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,positive
"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast",negative
Sanofi poaches AstraZeneca scientist as new research head,neutral
$vxx adding to position here !,positive
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive
$GTE LONG at 7.44,positive
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",positive
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,negative
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",positive
Arm slammed by handset sales outlook,negative
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive
